id,BC,FF,Rs,Rsh,VOC,jsc
1,Ag,42.05077769,1201.02073,3207157.274,313.589943,9.0800
2,Ag,31.44833907,23063.72733,1139940.919,305.73625,14.4411
3,Ag,44.52844336,77754.33149,2474439.611,403.290236,14.9000
4,Ag,42.47006242,60349.26229,2323488.838,402.432026,14.8000
5,Ag,42.71045734,141620.041,2582383.661,407.892966,13.5000
6,Ag,41.93021651,182548.1347,3082773.338,408.952705,12.8000
7,Ag,33.25774142,86883.19578,2012722.108,216.85994,7.3100
8,Ag,32.4360013,1106140.408,3009070.904,330.152091,6.6100
9,Ag,43.2356536,110096.9616,3158644.726,407.203076,13.2000
10,Ag,35.23971131,491122.3571,2467333.972,410.842653,12.2000
11,Ag,35.93822131,420610.6405,2596688.966,424.257594,12.7000
12,Ag,37.49549973,328695.4812,2674906.185,414.902079,12.8000
13,Ag,32.97431945,128282.0669,1598482.283,274.145649,11.5000
14,Ag,34.9758684,384390.653,2258399.787,399.543687,12.6000
15,Ag,26.39783717,909115.7676,2088875.659,393.065519,7.9700
16,Ag,32.73135485,592601.3304,3167844.592,360.344318,8.4800
17,Ag,46.18335968,191507.3707,4675461.508,348.086121,10.6000
18,Ag,47.02909473,83333.84948,3578169.82,387.618687,13.0000
19,Ag,44.643984,83210.34639,3772965.47,405.214231,12.0000
20,Ag,30.7762608,240794.6572,1235600.146,268.091094,12.3000
21,Ag,40.36815255,88334.1928,3011735.129,387.302025,11.9000
22,Ag,37.27078982,396811.9955,2990644.705,416.115243,11.6000
23,Ag,24.25739324,113192.3144,286135.8218,66,9.0700
24,Ag,44.86900716,105854.825,569540.551,408.705556,11.9000
25,Ag,40.75915805,239740.9109,3286672.999,426.683993,11.8000
26,Ag,39.83357072,305462.6718,3530823.87,425.330267,10.6000
27,Ag,38.9079709,285382.7183,3063144.851,422.742594,11.7000
28,Ag,37.9051233,202924.321,2872870.378,400.637253,11.1706
29,Ag,35.32882249,402762.5277,3188391.005,388.421156,9.6000
30,Ag,31.05873005,887351.7163,2904805.371,393.811769,8.0300
31,Ag,37.45546185,507123.6602,3956000.605,389.654555,8.9300
32,Ag,30.13075956,852663.0744,3095424.963,361.294837,7.7700
33,Ag,52.43957518,15565.80955,5076089.778,354.406722,11.3000
